order_id,item_id,product_id,quantity,list_price,discount,source_x,timesamp,EGP,list_price_egp
1,1,20,1,599.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
1,2,8,2,1799.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
1,3,10,2,1549.0,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
1,4,16,2,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
1,5,4,1,2899.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,138834.41
2,1,20,1,599.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
2,2,16,2,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
3,1,3,1,999.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
3,2,20,1,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
4,1,2,2,749.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,35905.1
5,1,10,2,1549.0,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
2,2,16,2,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
3,1,3,1,999.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
5,2,17,1,429.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
5,3,26,1,599.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
6,1,18,1,449.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,21495.47
6,2,12,2,549.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,26330.28
6,3,20,1,599.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
6,4,3,2,999.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
6,5,9,2,2999.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
7,1,15,1,529.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,25372.79
7,2,3,1,999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
7,3,17,2,429.0,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
6,5,9,2,2999.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
7,1,15,1,529.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,25372.79
7,2,3,1,999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
7,3,17,2,429.0,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
8,1,22,1,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
8,2,20,2,599.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
9,1,7,2,3999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,191495.92
10,1,14,1,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
11,1,8,1,1799.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
11,2,22,2,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
11,3,16,2,599.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
12,1,4,2,2899.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,138834.41
12,2,11,1,1680.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,80475.88
13,1,13,1,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
13,2,17,2,429.0,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
13,3,20,2,599.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
13,4,16,2,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
14,1,6,1,469.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,22500.35
15,1,12,2,549.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,26330.28
15,2,8,1,1799.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
15,3,18,2,449.0,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,21495.47
15,4,23,2,299.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,14361.75
16,1,8,1,1799.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
16,2,21,1,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
16,3,13,2,269.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
16,4,14,1,269.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
17,1,8,1,1799.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
17,2,23,1,299.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,14361.75
17,3,5,1,1320.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,63241.21
17,4,20,2,599.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
18,1,2,2,749.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,35905.1
18,2,22,1,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
18,3,7,1,3999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,191495.92
18,4,25,2,499.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,23936.57
18,5,9,2,2999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
19,1,10,1,1549.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
19,2,9,2,2999.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
20,1,9,1,2999.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
20,2,10,2,1549.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
21,1,14,1,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
21,2,17,1,429.0,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
21,3,10,1,1549.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
22,1,15,2,529.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,25372.79
22,2,22,1,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
23,1,4,2,2899.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,138834.41
23,2,23,2,299.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,14361.75
23,3,13,1,269.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
24,1,3,2,999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,47873.62
24,2,18,2,449.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,21495.47
25,1,23,2,299.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,14361.75
25,2,10,2,1549.0,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,74156.98
25,3,22,1,269.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
25,4,14,1,269.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
25,5,21,1,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
26,1,7,1,3999.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,191495.92
26,2,2,1,749.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,35905.1
26,3,12,1,549.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,26330.28
26,4,21,2,269.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
27,1,5,1,1320.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,63241.21
27,2,19,1,449.0,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,21495.47
27,3,26,2,599.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
27,4,8,1,1799.99,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
28,1,5,1,1320.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,63241.21
28,2,7,2,3999.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,191495.92
28,3,14,2,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
28,4,6,1,469.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,22500.35
29,1,24,2,549.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,26330.28
29,2,6,1,469.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,22500.35
29,3,21,2,269.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
29,4,8,1,1799.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,86172.9
29,5,14,2,269.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,12925.53
30,1,26,1,599.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,28723.98
30,2,17,1,429.0,0.07,Postgres,2024-04-30 07:26:35.012252,47.8741,20537.99
30,3,19,1,449.0,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,21495.47
30,4,4,1,2899.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,138834.41
30,5,7,2,3999.99,0.1,Postgres,2024-04-30 07:26:35.012252,47.8741,191495.92
31,1,11,2,1680.99,0.05,Postgres,2024-04-30 07:26:35.012252,47.8741,80475.88
31,2,9,2,2999.99,0.2,Postgres,2024-04-30 07:26:35.012252,47.8741,143621.82
